Date;Price;Volume
2023-04-28;19.29;2835200
2023-05-01;18.55;2356600
2023-05-02;18.58;1918300
2023-05-03;18.9;3184000
2023-05-04;19.35;2041800
2023-05-05;20.42;4353700
2023-05-08;20.51;2402800
2023-05-09;20.24;1522700
2023-05-10;20.76;2139900
2023-05-11;20.88;1652500
2023-05-12;20.69;2003900
2023-05-15;21.62;2602000
2023-05-16;21.99;2498000
2023-05-17;22.87;4573000
2023-05-18;23.05;2144400
2023-05-19;22.06;2665900
2023-05-22;24.21;6251600
2023-05-23;23.16;3786500
2023-05-24;23.27;1901000
2023-05-25;23.35;2494400
2023-05-26;23.25;2261900
2023-05-30;24.57;5037800
2023-05-31;24.05;4265200
2023-06-01;24.1;3845000
2023-06-02;24.64;3293100
2023-06-05;24.31;4201900
2023-06-06;24.69;3984300
2023-06-07;26.11;18001100
2023-06-08;21.44;19213300
2023-06-09;22.68;10321200
2023-06-12;24.3;7131400
2023-06-13;26.95;17160600
2023-06-14;25.7;7243700
2023-06-15;24.84;5501800
2023-06-16;24.56;4427000
2023-06-20;24.58;3250700
2023-06-21;24.43;2404700
2023-06-22;24.32;1889600
2023-06-23;23.7;2230800
2023-06-26;23.02;2525200
2023-06-27;23.58;2141500
2023-06-28;24.98;3493900
2023-06-29;24.9;3101000
2023-06-30;24.25;2797500
2023-07-03;24.91;1806600
2023-07-05;23.9;2263100
2023-07-06;22.83;2384600
2023-07-07;22.71;2439600
2023-07-10;23.54;3318200
2023-07-11;23.91;3063500
2023-07-12;23.44;1742200
2023-07-13;23.46;1912200
2023-07-14;22.97;2175300
2023-07-17;22.82;2026000
2023-07-18;23.08;2345100
2023-07-19;23.17;2250100
2023-07-20;22.91;2256700
2023-07-21;22.18;3134100
2023-07-24;23.04;2970400
2023-07-25;22.85;1672000
2023-07-26;22.7;1489200
2023-07-27;22.22;3370900
2023-07-28;21.93;2642100
2023-07-31;22.2;1973400
2023-08-01;21.5;2567100
2023-08-02;20.83;2625800
2023-08-03;20.93;1318700
2023-08-04;20.98;2400500
2023-08-07;21.07;1441300
2023-08-08;20.74;1431300
2023-08-09;19.93;2929600
2023-08-10;20.19;1432400
2023-08-11;20.19;1500200
2023-08-14;19.96;3329300
2023-08-15;19.33;2290300
2023-08-16;18.59;3015600
2023-08-17;18.38;2056800
2023-08-18;18.36;2023900
2023-08-21;18.48;2864700
2023-08-22;17.26;3791900
2023-08-23;16.89;2909100
2023-08-24;16.36;3624500
2023-08-25;17.13;3423500
2023-08-28;17.57;3007400
2023-08-29;18.24;2709200
2023-08-30;18.37;1884500
2023-08-31;18.55;4674100
2023-09-01;18.42;2131800
2023-09-05;19.23;3781300
2023-09-06;18.75;6107200
2023-09-07;18.89;5021300
2023-09-08;17.71;4689200
2023-09-11;17.02;3543800
